Unnamed: 0,DRNumber,DateReported,DateOccured,TimeOccured,AreaCode,AreaName,ReportedDistrictNumber,CrimeClassification,CrimeCode,CrimeCodeDescription,Mocodes,VictimAge,VictimSex,VictimDescent,PremisCode,PremisDescription,WeaponUsedCode,WeaponDescription,StatusCode,StatusDescription,Crm Cd 1,SecondaryCrimeCode,TertieryCrimeCode,QuartinaryCrimeCode,location,Cross Street,LatitudeCoordinates,longitudeCoordinates
1000010,240316894,2024-12-09,2024-12-06,23:00,3,Southwest,391,Indictable Offence,330,BURGLARY FROM VEHICLE,0344 1300 1601 1822,57.0,Female,Other,501.0,SINGLE FAMILY DWELLING,No Weapon Recorded,No Weapon Used,IC,Invest Cont,330.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,4100 DON LUIS DR,Unknown,34.0066,-118.3423
1000011,241506264,2024-02-15,2024-02-15,19:50,15,N Hollywood,1524,Indictable Offence,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 1309 0358 0329 0344 1300,0.0,Male,Other,203.0,OTHER BUSINESS,219.0,SCREWDRIVER,IC,Invest Cont,341.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,12100 VICTORY BL,Unknown,34.1867,-118.3965
1000012,241415039,2024-11-13,2024-11-11,13:05,14,Pacific,1426,Indictable Offence,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,21.0,Male,Hawaiian,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",No Weapon Recorded,No Weapon Used,IC,Invest Cont,341.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,3200 SAWTELLE BL,Unknown,34.0237,-118.4294
1000013,241410558,2024-06-16,2024-06-15,17:00,14,Pacific,1427,Misdemeanor,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,40.0,Female,Hispanic/Latin/Mexican,504.0,OTHER RESIDENCE,No Weapon Recorded,No Weapon Used,IC,Invest Cont,740.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,11100 NATIONAL BL,Unknown,34.0282,-118.4265
1000014,241409818,2024-05-28,2024-05-28,01:05,14,Pacific,1479,Indictable Offence,510,VEHICLE - STOLEN,Not Available,0.0,Not Recorded,Not Recorded,101.0,STREET,No Weapon Recorded,No Weapon Used,IC,Invest Cont,510.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,5600 W MANCHESTER AV,Unknown,33.9654,-118.3783
1000015,240811662,2024-10-28,2024-10-28,17:58,8,West LA,852,Indictable Offence,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0.0,Non-Binary,Unknown,203.0,OTHER BUSINESS,No Weapon Recorded,No Weapon Used,IC,Invest Cont,442.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,11800 SANTA MONICA BL,Unknown,34.0428,-118.4582
1000016,241212709,2024-06-14,2024-06-03,05:30,12,77th Street,1283,Indictable Offence,480,BIKE - STOLEN,0344 1822,36.0,Female,Hispanic/Latin/Mexican,121.0,YARD (RESIDENTIAL/BUSINESS),No Weapon Recorded,No Weapon Used,IC,Invest Cont,480.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,1700 W CENTURY BL,Unknown,33.9455,-118.3068
1000017,240404302,2024-01-10,2024-01-10,17:45,4,Hollenbeck,497,Indictable Offence,210,ROBBERY,0344 0443,0.0,Non-Binary,Unknown,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,2800 E OLYMPIC BL,Unknown,34.0234,-118.2177
1000018,240207206,2024-03-03,2024-03-02,19:00,2,Rampart,275,Misdemeanor,624,BATTERY - SIMPLE ASSAULT,0416 0913 1820,29.0,Female,Hispanic/Latin/Mexican,122.0,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,ALVARADO ST,JAMES M WOOD,34.0533,-118.2788
1000019,241705662,2024-02-10,2024-02-10,06:40,17,Devonshire,1764,Indictable Offence,510,VEHICLE - STOLEN,Not Available,0.0,Not Recorded,Not Recorded,108.0,PARKING LOT,No Weapon Recorded,No Weapon Used,AA,Adult Arrest,510.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,19500 NORDHOFF ST,Unknown,34.2355,-118.5574
1000020,241810811,2024-06-19,2024-01-12,20:35,18,Southeast,1822,Misdemeanor,354,THEFT OF IDENTITY,1822 0100 0922 0923,32.0,Male,Black,501.0,SINGLE FAMILY DWELLING,No Weapon Recorded,No Weapon Used,IC,Invest Cont,354.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,100 W COLDEN AV,Unknown,33.9492,-118.2739
1000021,241207188,2024-02-21,2024-01-30,10:39,12,77th Street,1241,Indictable Offence,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394 0361,32.0,Female,Hispanic/Latin/Mexican,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",No Weapon Recorded,No Weapon Used,IC,Invest Cont,440.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,6500 BRYNHURST AV,Unknown,33.9806,-118.3338
1000022,240707416,2024-03-22,2024-03-22,15:30,7,Wilshire,765,Misdemeanor,662,"BUNCO, GRAND THEFT",1300 1606 0701 0344,0.0,Non-Binary,Unknown,108.0,PARKING LOT,No Weapon Recorded,No Weapon Used,IC,Invest Cont,662.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,4700 W PICO BL,Unknown,34.0486,-118.3383
1000023,241306573,2024-02-23,2024-02-18,13:00,13,Newton,1354,Indictable Offence,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 0602 0906 0913 1816 0302 0360,42.0,Male,Hispanic/Latin/Mexican,101.0,STREET,101.0,REVOLVER,IC,Invest Cont,230.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,41ST ST,SAN PEDRO                    ST,34.0082,-118.2705
1000024,240206815,2024-02-25,2024-02-25,09:00,2,Rampart,246,Indictable Offence,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0416 0447 1402,49.0,Male,Hispanic/Latin/Mexican,102.0,SIDEWALK,312.0,PIPE/METAL PIPE,IC,Invest Cont,230.0,998.0,No Tertiery Crime Code,No Quartinary Crime Code,600 S ALVARADO ST,Unknown,34.0595,-118.2749
1000025,240707398,2024-03-21,2024-03-21,10:00,7,Wilshire,779,Misdemeanor,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0342 0329 1822,74.0,Female,Hispanic/Latin/Mexican,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",No Weapon Recorded,No Weapon Used,IC,Invest Cont,745.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,1700 4TH AV,Unknown,34.0418,-118.3213
1000026,240404740,2024-01-24,2024-01-23,23:00,4,Hollenbeck,421,Indictable Offence,510,VEHICLE - STOLEN,Not Available,0.0,Not Recorded,Not Recorded,101.0,STREET,No Weapon Recorded,No Weapon Used,IC,Invest Cont,510.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,2400 MANITOU AV,Unknown,34.0718,-118.2169
1000027,241008483,2024-05-04,2024-05-03,20:24,10,West Valley,1094,Indictable Offence,310,BURGLARY,0352 0321 0344 9999 1822,34.0,Male,Hispanic/Latin/Mexican,501.0,SINGLE FAMILY DWELLING,No Weapon Recorded,No Weapon Used,IC,Invest Cont,310.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,18000 KAREN DR,Unknown,34.1551,-118.5244
1000028,240308728,2024-04-03,2024-04-03,15:44,3,Southwest,333,Misdemeanor,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0416 0443 0446 0913 1251 1259 1815 2024,15.0,Male,Hispanic/Latin/Mexican,102.0,SIDEWALK,511.0,VERBAL THREAT,IC,Invest Cont,930.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,37TH ST,HARVARD                      BL,34.0278,-118.3378
1000029,240106652,2024-02-06,2024-02-06,14:00,1,Central,135,Misdemeanor,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0448,24.0,Female,Black,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,300 S MAIN ST,Unknown,34.0495,-118.2459
1000030,242105324,2024-02-03,2024-02-03,04:55,21,Topanga,2161,Indictable Offence,510,VEHICLE - STOLEN,Not Available,0.0,Not Recorded,Not Recorded,104.0,DRIVEWAY,No Weapon Recorded,No Weapon Used,IC,Invest Cont,510.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,23800 CALIFA ST,Unknown,34.1779,-118.6446
1000031,241908421,2024-04-30,2024-04-25,17:56,19,Mission,1984,Indictable Offence,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 1822,29.0,Male,Other,119.0,"PORCH, RESIDENTIAL",No Weapon Recorded,No Weapon Used,IC,Invest Cont,440.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,8300 WILLIS AV,Unknown,34.2215,-118.4553
1000032,241007532,2024-04-05,2024-04-05,15:15,10,West Valley,1028,Misdemeanor,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1202 1300 0329 1822,63.0,Female,White,122.0,"VEHICLE, PASSENGER/TRUCK",500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,740.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,16600 SHERMAN WY,Unknown,34.2011,-118.4951
1000033,241205035,2024-01-17,2024-01-11,07:00,12,77th Street,1257,Misdemeanor,624,BATTERY - SIMPLE ASSAULT,0419 0416,68.0,Female,Hispanic/Latin/Mexican,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,300 W 78TH ST,Unknown,33.9689,-118.2783
1000034,240411936,2024-11-29,2024-11-29,23:00,4,Hollenbeck,471,Misdemeanor,888,TRESPASSING,1822,0.0,Male,Unknown,152.0,UNDERPASS/BRIDGE*,No Weapon Recorded,No Weapon Used,IC,Invest Cont,888.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,E 6TH ST,S  MISSION                      RD,34.0391,-118.2241
1000035,241805946,2024-02-10,2024-02-10,08:40,18,Southeast,1802,Misdemeanor,624,BATTERY - SIMPLE ASSAULT,0913 0416 1218,42.0,Female,Hispanic/Latin/Mexican,517.0,MISSIONS/SHELTERS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,8700 S BROADWAY,Unknown,33.9586,-118.2782
1000036,241209683,2024-04-08,2024-04-07,23:45,12,77th Street,1283,Indictable Offence,210,ROBBERY,0344 0913 1814 2000 0400 0416 2004,46.0,Female,Hispanic/Latin/Mexican,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,S WESTERN AV,W  103RD                        ST,33.9432,-118.309
1000037,242012187,2024-09-17,2024-09-17,07:55,20,Olympic,2024,Misdemeanor,888,TRESPASSING,1822 0910 2052,0.0,Non-Binary,Unknown,922.0,MTA - PURPLE LINE - WILSHIRE/WESTERN,No Weapon Recorded,No Weapon Used,IC,Invest Cont,888.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,3700 WILSHIRE BL,Unknown,34.0636,-118.3047
1000038,241509675,2024-04-28,2024-04-26,17:25,15,N Hollywood,1531,Misdemeanor,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,39.0,Female,Other,101.0,STREET,No Weapon Recorded,No Weapon Used,IC,Invest Cont,745.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,5900 WHITSETT AV,Unknown,34.174,-118.4095
1000039,240911807,2024-09-25,2024-09-24,20:00,9,Van Nuys,904,Indictable Offence,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1501,22.0,Male,Hispanic/Latin/Mexican,405.0,CLOTHING STORE,No Weapon Recorded,No Weapon Used,IC,Invest Cont,442.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,7900 N SEPULVEDA BL,Unknown,34.2141,-118.4662
1000040,241315577,2024-12-15,2024-12-14,22:42,13,Newton,1385,Indictable Offence,510,VEHICLE - STOLEN,Not Available,0.0,Not Recorded,Not Recorded,101.0,STREET,No Weapon Recorded,No Weapon Used,IC,Invest Cont,510.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,800 E 61ST ST,Unknown,33.9844,-118.2609
1000041,241415205,2024-11-20,2024-08-25,12:46,14,Pacific,1415,Indictable Offence,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0104 0325,0.0,Non-Binary,Unknown,406.0,OTHER STORE,No Weapon Recorded,No Weapon Used,IC,Invest Cont,442.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,200 LINCOLN BL,Unknown,34.0018,-118.4688
1000042,240807306,2024-03-25,2024-03-22,14:45,8,West LA,851,Misdemeanor,624,BATTERY - SIMPLE ASSAULT,0417,49.0,Male,Other,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,1500 BROCKTON AV,Unknown,34.0375,-118.4622
1000043,240912031,2024-10-03,2024-09-29,18:00,9,Van Nuys,952,Indictable Offence,510,VEHICLE - STOLEN,Not Available,0.0,Not Recorded,Not Recorded,707.0,GARAGE/CARPORT,No Weapon Recorded,No Weapon Used,IC,Invest Cont,510.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,15300 WEDDINGTON ST,Unknown,34.1667,-118.4662
1000044,241011883,2024-10-23,2024-10-16,14:30,10,West Valley,1008,Indictable Offence,510,VEHICLE - STOLEN,Not Available,0.0,Not Recorded,Not Recorded,101.0,STREET,No Weapon Recorded,No Weapon Used,IC,Invest Cont,510.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,15900 STRATHERN ST,Unknown,34.2157,-118.4793
1000045,241208970,2024-03-25,2024-03-24,14:30,12,77th Street,1233,Indictable Offence,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,52.0,Female,Black,203.0,OTHER BUSINESS,No Weapon Recorded,No Weapon Used,AA,Adult Arrest,341.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,1600 W SLAUSON AV,Unknown,33.9892,-118.3045
1000046,241514413,2024-10-07,2024-10-05,08:00,15,N Hollywood,1502,Indictable Offence,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Not Available,0.0,Not Recorded,Not Recorded,104.0,DRIVEWAY,No Weapon Recorded,No Weapon Used,IC,Invest Cont,420.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,12600 DIVAN PL,Unknown,34.2124,-118.4092
1000047,240211766,2024-07-08,2024-07-02,07:15,2,Rampart,212,Indictable Offence,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,21.0,Male,Hispanic/Latin/Mexican,103.0,ALLEY,No Weapon Recorded,No Weapon Used,IC,Invest Cont,440.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,MELROSE,VERMONT,34.0836,-118.2917
1000048,241508402,2024-03-31,2024-03-23,08:40,15,N Hollywood,1566,Misdemeanor,903,CONTEMPT OF COURT,0913 2038,38.0,Male,White,254.0,STUDIO (FILM/PHOTOGRAPHIC/MUSIC),No Weapon Recorded,No Weapon Used,AO,Adult Other,903.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,10800 LANDALE ST,Unknown,34.1513,-118.3664
1000049,240707395,2024-03-21,2024-03-15,23:40,7,Wilshire,705,Indictable Offence,330,BURGLARY FROM VEHICLE,0344 1822 0358,58.0,Female,Hispanic/Latin/Mexican,123.0,PARKING UNDERGROUND/BUILDING,No Weapon Recorded,No Weapon Used,IC,Invest Cont,330.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,500 N LA BREA AV,Unknown,34.0846,-118.3464
1000050,241704029,2024-01-01,2024-01-01,02:00,17,Devonshire,1701,Misdemeanor,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1814 2000 0913 0419 0448,27.0,Female,Other,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,12300 FINCH CT,Unknown,34.2957,-118.5832
1000051,240122974,2024-12-28,2024-12-27,18:00,1,Central,174,Indictable Offence,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1300,27.0,Male,Hispanic/Latin/Mexican,108.0,PARKING LOT,No Weapon Recorded,No Weapon Used,IC,Invest Cont,420.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,8TH ST,SPRING,34.0431,-118.2537
1000052,242014146,2024-12-23,2024-12-22,03:00,20,Olympic,2014,Indictable Offence,330,BURGLARY FROM VEHICLE,1307 1609 0344 1822,35.0,Male,Filipino,101.0,STREET,No Weapon Recorded,No Weapon Used,IC,Invest Cont,330.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,200 S HOBART BL,Unknown,34.0712,-118.3055
1000053,241411597,2024-07-25,2024-07-19,19:00,14,Pacific,1489,Indictable Offence,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Not Available,0.0,Not Recorded,Not Recorded,101.0,STREET,No Weapon Recorded,No Weapon Used,IC,Invest Cont,420.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,5200 W CENTURY BL,Unknown,33.949,-118.3744
1000054,240907369,2024-03-28,2024-03-27,10:00,9,Van Nuys,979,Indictable Offence,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,63.0,Female,White,101.0,STREET,No Weapon Recorded,No Weapon Used,IC,Invest Cont,440.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,4600 COLDWATER CANYON AV,Unknown,34.1536,-118.4181
1000055,241810294,2024-05-25,2024-05-25,14:05,18,Southeast,1831,Misdemeanor,354,THEFT OF IDENTITY,0924 0927 1822,31.0,Female,Black,501.0,SINGLE FAMILY DWELLING,No Weapon Recorded,No Weapon Used,IC,Invest Cont,354.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,800 W ATHENS BL,Unknown,33.9228,-118.2891
1000056,240907083,2024-03-21,2024-03-10,12:00,9,Van Nuys,981,Misdemeanor,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1822 1307,29.0,Female,White,122.0,"VEHICLE, PASSENGER/TRUCK",No Weapon Recorded,No Weapon Used,IC,Invest Cont,745.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,4300 N SEPULVEDA BL,Unknown,34.1537,-118.4662
1000057,241812660,2024-08-30,2024-08-08,17:53,18,Southeast,1851,Indictable Offence,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0342 0344 0325,0.0,Non-Binary,Unknown,203.0,OTHER BUSINESS,No Weapon Recorded,No Weapon Used,IC,Invest Cont,442.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,13400 S FIGUEROA ST,Unknown,33.9102,-118.2827
1000058,241108426,2024-05-30,2024-05-19,19:00,11,Northeast,1129,Indictable Offence,330,BURGLARY FROM VEHICLE,0344 1302 1307,34.0,Female,Black,504.0,OTHER RESIDENCE,No Weapon Recorded,No Weapon Used,IC,Invest Cont,330.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,100 BRIDEWELL ST,Unknown,34.1131,-118.1776
1000059,240311259,2024-06-10,2024-06-08,21:00,3,Southwest,337,Indictable Offence,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385 0344 1300 1822 1202,61.0,Female,Korean,101.0,STREET,No Weapon Recorded,No Weapon Used,IC,Invest Cont,331.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,2900 S HARVARD BL,Unknown,34.0291,-118.3067
1000060,241809609,2024-05-01,2024-05-01,17:20,18,Southeast,1837,Indictable Offence,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1822 0342,25.0,Female,Hispanic/Latin/Mexican,102.0,SIDEWALK,114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,IC,Invest Cont,230.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,GRANDEE,108TH                        ST,33.9379,-118.244
1000061,241106503,2024-03-06,2024-03-05,14:16,11,Northeast,1189,Indictable Offence,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344,0.0,Non-Binary,Unknown,407.0,HARDWARE/BUILDING SUPPLY,No Weapon Recorded,No Weapon Used,IC,Invest Cont,442.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,2000 N FIGUEROA ST,Unknown,34.0817,-118.2253
1000062,241713532,2024-10-14,2024-10-14,15:30,17,Devonshire,1735,Indictable Offence,440,THEFT PLAIN - PETTY ($950 & UNDER),0377 2032 0930 1822 0344,58.0,Female,Korean,406.0,OTHER STORE,No Weapon Recorded,No Weapon Used,IC,Invest Cont,440.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,18000 CHATSWORTH ST,Unknown,34.2684,-118.5149
1000063,241210401,2024-04-18,2024-04-16,04:50,12,77th Street,1265,Indictable Offence,330,BURGLARY FROM VEHICLE,0344 0377 0329 1609,39.0,Female,Black,101.0,STREET,No Weapon Recorded,No Weapon Used,IC,Invest Cont,330.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,1000 W 85TH ST,Unknown,33.961,-118.2919
